Player,TOI/GP,Goals/60,Total Assists/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iSCF/60,iHDCF/60,Hits/60,Shots Blocked/60
Yannick Weber,11.913172043011,0.16,0.49,27.59,5.44,2.99,0.17,9.91,2.03,0.57,5.2,2.6
Robert Bortuzzo,15.455084745763,0.13,0.53,25.0,4.94,2.67,0.22,8.36,2.63,0.59,6.25,4.74
Ryan McDonagh,22.088211382114,0.3,1.23,42.2,4.24,7.03,0.23,8.05,2.29,0.56,3.25,5.33
Jake Muzzin,21.3375,0.32,0.98,45.12,4.96,6.38,0.19,11.32,2.46,0.18,6.05,4.71
Alec Martinez,21.363055555556,0.19,0.66,33.96,3.65,5.13,0.2,7.96,2.53,0.51,3.65,6.32
Nick Holden,18.292349726776,0.16,0.65,30.61,4.19,3.85,0.2,10.16,2.26,0.65,5.59,4.09
Jason Demers,19.992380952381,0.17,0.51,30.77,3.34,5.13,0.12,6.95,1.37,0.17,4.29,3.69
Drew Doughty,26.57418699187,0.22,1.02,51.72,4.24,5.19,0.21,8.76,1.79,0.36,4.63,3.3
Alex Pietrangelo,24.07441314554,0.46,0.98,40.59,5.9,7.74,0.36,12.53,3.12,0.77,2.18,4.88
Zach Bogosian,21.626666666667,0.13,0.68,33.93,3.97,3.23,0.15,7.73,1.79,0.43,3.54,4.95
Tyler Myers,20.346875,0.33,0.81,36.47,5.75,5.77,0.3,11.1,2.8,0.63,3.58,3.65
Erik Karlsson,24.487735849057,0.14,1.94,47.37,7.81,1.78,0.36,17.98,3.61,0.46,2.03,3.19
Jake Gardiner,21.213978494624,0.14,1.23,38.46,3.56,3.85,0.17,10.77,2.33,0.27,2.78,2.92
Michael Del Zotto,17.028571428571,0.08,0.76,33.33,3.78,2.22,0.2,9.4,2.35,0.59,10.82,4.45
John Carlson,25.064791666667,0.39,1.71,45.16,5.54,7.03,0.32,11.88,3.08,0.54,1.62,4.91
Roman Josi,25.165447154472,0.44,1.19,54.37,7.97,5.47,0.5,14.77,4.36,1.05,1.54,4.19
Travis Hamonic,20.865700483092,0.29,0.5,23.17,5.33,5.47,0.21,11.92,2.21,0.33,1.83,6.96
Marco Scandella,17.610317460317,0.32,0.38,35.14,4.49,7.23,0.15,8.44,1.57,0.27,2.87,4.06
TJ Brodie,21.471097046414,0.32,0.88,36.17,3.61,8.82,0.2,8.24,2.23,0.57,0.74,3.04
Greg Pateryn,17.120625,0.04,0.26,16.67,4.38,1.0,0.11,8.98,1.14,0.26,6.31,5.17
Mark Borowiecki,15.570125786164,0.07,0.29,18.52,4.29,1.69,0.22,10.69,2.18,0.87,15.41,6.76
Jared Spurgeon,24.144715447154,0.42,0.88,44.79,4.61,9.21,0.25,9.21,2.76,0.79,2.76,4.39
Jordie Benn,18.193827160494,0.2,0.69,30.99,3.79,5.38,0.16,8.06,0.81,0.08,5.05,5.21
Victor Hedman,22.770476190476,0.45,1.58,43.2,6.85,6.59,0.39,12.35,3.54,1.05,2.22,3.65
Oliver Ekman-Larsson,23.639300411523,0.44,0.94,51.16,5.51,7.95,0.34,13.47,3.98,0.41,5.08,1.63
Ryan Ellis,24.014227642276,0.21,1.04,40.2,4.54,4.7,0.3,9.38,2.16,0.3,2.16,4.69
Calvin de Haan,18.511261261261,0.04,0.57,28.57,4.47,0.98,0.22,12.4,2.98,0.48,8.19,4.64
Dmitry Kulikov,15.663450292398,0.0,0.4,16.67,2.69,0.0,0.11,6.45,1.34,0.2,5.91,4.77
Nick Leddy,21.55,0.14,0.75,30.23,3.94,3.45,0.24,8.83,2.34,0.44,2.61,3.02
John Moore,18.772677595628,0.21,0.47,30.95,5.08,4.12,0.2,9.69,2.04,0.31,4.03,3.98
Brayden McNabb,19.478600823045,0.15,0.46,22.86,3.19,4.76,0.14,7.0,1.75,0.27,7.61,5.29
Tyson Barrie,21.776068376068,0.49,1.59,54.13,7.7,6.42,0.39,15.58,4.17,0.81,1.7,3.29
Dmitry Orlov,21.636382113821,0.1,0.88,36.71,3.42,2.97,0.19,7.85,2.27,0.3,4.63,3.48
Brian Dumoulin,21.025219298246,0.11,0.75,25.84,3.72,3.03,0.16,8.49,1.73,0.26,5.29,4.84
Mattias Ekholm,23.363958333333,0.26,1.16,48.89,4.69,5.48,0.22,9.82,2.54,0.51,2.18,3.43
Sami Vatanen,21.728333333333,0.22,0.72,36.96,5.91,3.74,0.27,11.27,2.04,0.33,3.76,4.25
David Savard,19.743699186992,0.3,0.59,31.58,4.6,6.45,0.25,8.67,2.3,0.67,4.52,4.56
Kevin Connauton,18.351666666667,0.07,0.46,23.53,4.9,1.33,0.18,10.92,2.42,0.26,7.06,4.9
Ben Chiarot,18.616239316239,0.21,0.62,40.0,4.59,4.5,0.17,9.55,1.82,0.21,7.07,5.74
Nick Jensen,19.852083333333,0.08,0.68,32.79,3.55,2.13,0.15,7.25,1.78,0.34,3.1,3.97
