,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Player,TOI/GP_x,Goals/60_x,Total Assists/60_x,IPP_x,Shots/60_x,SH%_x,ixG/60_x,iCF/60_x,iSCF/60_x,iHDCF/60_x,Hits/60_x,Shots Blocked/60_x,TOI/GP_y,Goals/60_y,Total Assists/60_y,IPP_y,Shots/60_y,SH%_y,ixG/60_y,iCF/60_y,iSCF/60_y,iHDCF/60_y,Hits/60_y,Shots Blocked/60_y,Goal_Proj,Assist_Proj,Shots_Proj,Hits_Proj,Shots_Blocked_Proj,TOI_GP_Proj
144,144,144,144,144,178,Jan Rutta,16.387280701754,0.14,0.72,26.09,4.14,3.49,0.17,9.54,2.41,0.48,4.48,3.42,17.120238095238,0.19,0.38,25.71,4.01,4.69,0.13,8.76,1.81,0.13,4.44,4.38,0.1617015947242374,0.5983712074988987,3.734814541753201,4.348971789368584,4.196849086545729,17.38163540022766
145,145,145,145,145,180,Jacob Bryson,18.342237442922,0.04,0.4,16.67,1.93,2.33,0.06,3.81,1.21,0.13,2.46,3.27,14.58615819209,0.07,0.56,32.14,1.88,3.7,0.07,4.04,0.91,0.0,2.37,4.81,0.0445457400980801,0.4749987559219026,2.9024943199701543,2.4805345078380308,4.39908161677967,15.188120720948968
146,146,146,146,146,181,Sean Durzi,19.59453125,0.14,1.15,42.19,5.69,2.52,0.32,11.82,4.83,0.81,3.54,5.79,19.785416666667,0.38,1.22,48.1,4.63,8.18,0.25,11.08,4.63,0.8,2.86,5.98,0.3368285739471383,1.1014909370152883,5.70284926664273,3.0186299800324985,5.686928421316368,19.715474202121815
147,147,147,147,147,182,Zach Whitecloud,18.797457627119,0.43,0.6,30.16,5.09,8.51,0.23,10.17,2.65,0.49,5.3,6.22,17.111581920904,0.3,0.42,27.91,3.8,7.81,0.21,8.26,2.2,0.48,5.35,5.76,0.2598680125427826,0.7295584097704948,4.569646946671382,5.159533852367677,5.672444288909675,17.386400989519103
148,148,148,148,148,183,Martin Fehervary,19.652953586498,0.31,0.35,22.37,3.71,8.33,0.18,6.99,1.97,0.58,9.7,4.52,20.000248756219,0.27,0.45,32.0,4.07,6.59,0.3,8.46,3.18,1.12,9.72,5.73,0.2626885427649658,0.709923997896321,4.329656176023821,9.125592131729928,5.227475977109881,19.90257740026104
149,149,149,149,149,184,Quinn Hughes,25.228289473684,0.25,1.88,55.74,4.69,5.33,0.22,10.7,2.82,0.25,0.59,1.75,25.661111111111,0.21,2.07,53.52,4.62,4.55,0.24,11.03,3.18,0.42,0.87,2.13,0.2352045590003862,1.510346415219377,4.95737279580324,1.0619249416304706,2.5202805912147133,24.853362768460084
150,150,150,150,150,185,Evan Bouchard,19.804526748971,0.45,1.16,48.31,7.67,5.85,0.35,14.96,2.77,0.49,2.99,4.19,18.516463414634,0.32,1.26,36.04,6.16,5.13,0.34,15.02,3.95,0.47,3.75,3.04,0.3813519310662945,1.093167962009378,6.602272828926717,3.596151273478505,3.642849225286497,18.613138821948876
151,151,151,151,151,186,Mattias Samuelsson,19.993253968254,0.0,0.71,27.03,3.14,0.0,0.15,5.93,1.29,0.64,7.15,4.29,22.176060606061,0.1,0.39,15.38,3.74,2.63,0.19,6.79,1.52,0.39,5.26,4.48,0.1545807532988828,0.4694904243250203,3.816496381967605,5.386786917178605,4.471816362170426,21.79626981720434
152,152,152,152,152,187,K'Andre Miller,20.592276422764,0.25,0.46,26.32,3.62,6.86,0.19,7.85,2.27,0.46,5.37,3.38,21.952109704641,0.31,1.18,48.31,3.91,7.96,0.23,8.3,2.84,0.66,5.6,3.63,0.2271357114762908,0.878150299591764,4.340592074416881,5.357496998715023,3.7681391109475975,21.604590568921733
153,153,153,153,153,188,Rasmus Dahlin,24.02875,0.41,1.25,55.21,5.34,7.6,0.26,10.05,2.4,0.44,3.78,2.84,25.794017094017,0.45,1.73,47.4,6.08,7.35,0.47,11.27,4.26,1.07,3.13,3.94,0.4203676764387442,1.4153953725203725,6.662848362308877,3.258601602313495,3.8051507967692895,24.962811979234132
154,154,154,154,154,189,Noah Dobson,21.459166666667,0.45,1.33,54.26,6.64,6.84,0.3,14.01,3.53,0.49,2.73,5.38,20.380982905983,0.49,1.36,50.0,7.77,6.31,0.43,18.15,4.38,0.6,2.26,3.93,0.4500121951592739,1.3678836157626666,7.079140841495772,2.44131615171247,4.439384468913725,20.242853335075736
155,155,155,155,155,190,Adam Boqvist,17.045833333333,0.74,0.74,44.0,4.33,17.19,0.35,8.8,3.79,0.74,1.76,3.18,18.633333333333,0.35,1.33,46.15,4.76,7.35,0.28,9.45,3.36,0.49,1.61,3.29,0.3415550825152341,1.223751344085534,4.633522058262114,1.8011674317326083,3.527979129968148,18.700691961620468
156,156,156,156,156,191,Rasmus Sandin,16.959477124183,0.35,0.76,32.0,3.19,10.87,0.2,8.46,3.19,0.62,6.1,2.71,19.326525821596,0.31,1.22,43.75,3.54,8.64,0.17,7.61,2.49,0.44,5.95,3.8,0.2043206762993762,1.045443014420122,3.4070858678446845,5.735255744907543,3.694259296422356,19.30301055580997
157,157,157,157,157,193,Ilya Lyubushkin,17.44696969697,0.09,0.58,28.85,2.41,3.7,0.09,4.64,1.12,0.13,8.35,4.11,15.008823529412,0.12,0.71,35.9,2.41,4.88,0.09,4.59,1.06,0.12,5.82,6.11,0.0715091778758754,0.5644433623941243,3.025728397096211,5.996295105583156,5.33630664339851,15.551079322109032
158,158,158,158,158,194,Alexander Romanov,20.394303797468,0.11,0.37,20.0,3.98,2.8,0.12,9.09,2.31,0.3,8.45,5.36,19.449561403509,0.08,0.81,35.48,4.06,2.0,0.15,9.54,2.23,0.37,8.04,5.24,0.1267705451162047,0.6324813245636637,3.894065167962886,7.6711724748543375,5.165560852511694,19.42751343880406
159,159,159,159,159,195,Simon Benoit,14.092452830189,0.08,0.32,20.83,3.61,2.22,0.14,6.99,1.69,0.24,13.5,3.13,19.349145299145,0.12,0.28,22.73,3.26,3.66,0.16,6.96,1.79,0.28,8.59,5.09,0.1369430590552875,0.4358252450922523,3.862895196084328,8.8861031547858,4.520106277206021,19.30805659402477
160,160,160,160,160,196,Moritz Seider,23.041056910569,0.22,1.37,44.64,5.94,3.74,0.31,11.27,2.67,0.22,4.8,5.11,23.148780487805,0.16,1.17,40.0,4.43,3.57,0.22,9.39,2.12,0.19,6.54,6.01,0.2326246849692474,1.073713082640211,4.975114835339188,5.969198339777948,5.532384608524447,22.657633805533905
161,161,161,161,161,198,Braden Schneider,15.476356589147,0.18,0.81,42.31,2.25,8.0,0.13,5.86,1.53,0.27,5.41,4.69,15.721810699588,0.24,0.61,36.0,3.72,6.33,0.16,7.96,2.26,0.38,6.93,6.13,0.1446159358527241,0.7246364024987826,2.985259944479162,6.357744991950319,5.493569813894977,16.161000031070373
162,162,162,162,162,200,Artem Zub,21.039917695473,0.21,0.56,36.67,3.24,6.52,0.14,6.83,1.65,0.35,5.46,4.37,20.253144654088,0.17,0.39,24.39,2.29,7.32,0.12,6.09,1.62,0.22,7.32,3.75,0.1288231596535884,0.51557985170909,3.135638046513088,6.657143240433619,4.084497465761118,20.12955451017963
163,163,163,163,163,201,J.J. Moser,18.693023255814,0.3,0.82,36.59,2.99,10.0,0.2,7.39,2.54,0.67,2.39,4.11,21.050609756098,0.24,0.83,41.89,3.23,7.53,0.19,7.4,2.43,0.45,2.78,4.76,0.1977569810382696,0.8847592303773533,3.204317704539265,2.7757750946302844,4.582765188570026,20.811013087365342
