,Player,TOI_GP_Proj,Goal_Proj,Assist_Proj,Shots_Proj,Hits_Proj,Shots_Blocked_Proj,Total_Goals,Total_Assists,Total_Shots,Total_Hits,Total_Shots_Blocked,Projected Fantasy Points
114,Zemgus Girgensons,13.748455227600806,0.6457851962048347,0.6807584543764371,6.546316844256193,5.4649903523760415,2.388205167377686,11.838065142226096,12.47916950774023,120.00232538526035,100.18023357188314,43.77884242402267,102.14565013748397
115,Tomas Hertl,18.895171651037465,1.0121826150432924,1.4124359752205962,7.931578500480868,3.647008869995247,2.1380054928424665,25.500485671251983,35.584293597191554,199.82471630701912,91.88114481522183,53.8639743708258,172.97772381296218
116,Teuvo Teravainen,16.93047526415142,0.850514206436482,1.401520453202309,7.692979905637644,0.9818354513647,1.159182626429332,19.19947964517631,31.637876486858634,173.66107466668274,22.163921097062662,26.167350377861172,125.53492231261289
117,Filip Forsberg,17.38453570711291,1.4695709906627927,1.8620521998488024,11.603392105551972,5.578366951389819,1.697967378512499,34.06374581508615,43.16121727570619,268.95944584346705,129.30309260508653,39.35783269501792,220.69380169177137
118,Radek Faksa,14.3896570368383,0.4378704170013984,0.6112350695900277,5.503898253086418,5.096120027128867,3.361875015608152,8.401073502969991,11.727284027051319,105.59894430342267,97.77522587859664,64.50163796708895,95.49838307026837
119,Oskar Sundqvist,14.334686846350424,0.6410654830807111,1.1106908351244424,5.339006628248383,4.284525487396369,1.8914361381620373,12.252630597288466,21.22854040616042,102.04398411537309,81.88977486271183,36.15085964056427,100.75495625539965
120,Chandler Stephenson,18.640776563441303,0.7705765260725207,1.5845228681940728,5.130088919111139,2.88583059125136,1.9916387131087576,19.15219313006755,39.38231566089182,127.50512172231579,71.72549766861376,49.50092299488017,139.86958751747935
121,Jimmy Vesey,14.18499374791474,0.5847814467696217,0.6865295588512708,6.600652287395131,5.148763277094307,2.0034388453378447,11.060161555098162,12.98455666675192,124.84028190514542,97.38023319343435,37.891689993929134,100.13293105007548
122,Jordan Martinook,15.388732929629446,0.7206705365905023,0.9102027609797008,7.325438136534116,4.725887887911009,1.3574165790635375,14.78694189045865,18.67582293403728,150.30561476752789,96.96723541657747,27.851894945946686,117.0308929974676
123,Colton Sissons,15.98789867172742,0.5181122869931026,0.8661728554892135,5.200627484428006,7.562111596627689,2.751803095951946,11.044702326696909,18.46437846101646,110.86280700058083,161.20303193490446,58.66073208350069,123.23542586915678
124,Teddy Blueger,13.719671000300403,0.5314120869399669,0.9029591800979632,5.876548974328238,5.127424054622399,2.8026339447230844,9.721065331199174,16.517737170193406,107.49909139324828,93.79542814459418,51.26828754116644,99.10056960234398
125,Brock McGinn,13.80966792321125,0.6391325063013928,0.7166702845281518,6.009910882009226,5.209496626142645,2.668588644685176,11.768276894602609,13.195971519689467,110.65983137152139,95.92189127215909,49.136430675672884,100.66206363873303
126,Josh Anderson,16.924888117420508,0.9754922048216068,0.8651610939168071,8.369435624055036,6.981627675407937,2.192790910934074,22.01346190136206,19.523672957449463,188.86901539077996,157.55102304502128,49.4836544432744,162.52651997994252
127,Alexander Kerfoot,15.004900454844895,0.7127767832931137,1.2481472758517649,6.305001792603891,3.003628662211804,2.4734986377072428,14.260192906450296,24.971100836188754,126.14123235418667,60.092198773076085,49.48613444532218,112.42137804223557
128,Dominik Kubalik,15.159810652945165,0.910761151449106,1.1358333564718437,8.35703872573237,4.4778920248800045,1.4072111037053163,18.409288808035683,22.958691489883094,168.92149960191048,90.51199362868545,28.444071841192766,131.74666037390165
129,Tyler Motte,13.377386587825328,0.7595076870569517,0.8750283736252288,7.787659492034849,8.506179196141803,4.1439548398487975,13.546970594914535,15.607457105734328,138.9047088523968,151.72059665614157,73.91371452686288,133.83615330441373
130,Pavel Buchnevich,18.87187197892948,1.20173604397068,1.944589134253048,8.57626720954735,2.6964691912148133,1.076451363959046,30.238678365706452,48.93071625765444,215.80028911422448,67.8498951623113,27.08620310957219,187.09216983559435
131,Jake Guentzel,19.528172520626335,1.4170026636996471,1.5763926929423964,11.124820054826166,3.115915906104283,1.6798443817026727,36.89529663855169,41.04542462404513,289.66320705542546,81.13085783222422,43.739054524926225,218.4692977542925
132,Mattias Janmark,14.95848915001208,0.619987790780358,0.9434774641229507,5.555485042433525,1.4211955232939193,1.6704761204661778,12.365440855370593,18.817329880485424,110.80221697372836,28.345250420317107,33.31706523113012,86.6643447475205
133,Carter Verhaeghe,17.21943695601581,1.403461887266095,1.598652233893885,9.903604920862213,1.7227958884887136,1.2092346394024338,32.22243131726599,36.703855141506125,227.37933409609977,39.554100253219524,27.763119517627626,174.82285624277483
134,Oliver Bjorkstrand,15.999890392261424,1.0595408159079218,1.2662887104136136,9.303201306047264,3.1802218050966404,1.646745519141326,22.603382560871985,27.013974095434513,198.46693492519935,67.8442670728347,35.1303304136118,147.58112232008992
135,Nicholas Paul,16.265820430795642,0.7237707471501704,0.8581834298670691,7.007546553670991,4.930324838541059,2.20763962522095,15.69696667494329,18.612076755869403,151.9779918699376,106.92770465226718,47.878759626337285,126.70212414289149
136,Andrew Copp,17.98982526607837,0.7372040706771584,1.2118447539839237,6.983247334114953,1.6504156631407014,1.7940850472720713,17.68289655589836,29.06783383171269,167.50319910738082,39.58758586173344,43.033702017211354,126.96474869009081
137,Andre Burakovsky,16.535786249597898,1.0772029476052452,1.8607378127526208,7.622401501531587,1.7069837460882646,1.330478456350091,23.74986358538285,41.02501698429555,168.05653591725385,37.635091142471246,29.33400981853343,147.2811533746259
138,Jason Dickinson,15.785255503001176,0.5527605034694865,0.8417987708831021,5.950079137802583,5.7850141577169545,3.3863176915966844,11.633954372311218,17.71734490733615,125.2313592710543,121.75723542405504,71.2718533015824,120.55036565113153
139,Ryan Hartman,16.52167891527168,1.1221328238316577,1.419900490215518,9.466133215320356,3.5968970935867586,2.521150567553913,24.719357620845024,31.278853321303522,208.52855140361498,79.23570516201912,55.53818689890762,166.543179429129
140,Adam Erne,13.919240537962494,0.5827600200559756,0.8195988099864044,6.12536782857475,10.406746142010885,3.268348157171977,10.815435860089295,15.210923974438106,113.68062425257193,193.13867035755027,60.65723221531093,128.71092740097498
141,J.T. Compher,19.496928145537648,0.7714950888483796,1.124336024847944,5.766800016082065,1.5862058413405542,2.758450209998365,20.055712415882724,29.22813158386639,149.9131807243165,41.23485508353183,71.70840738317514,135.0536672133877
142,Artturi Lehkonen,19.319080848133392,0.9449234288015872,1.257661054038146,8.172904500694639,4.237025008733548,1.9773431341547565,24.340069488417704,32.39580744334881,210.52400375065733,109.14057159904868,50.93393583098296,173.72557421535646
143,William Carrier,13.16788377099714,1.087242366378257,0.9545730549955914,8.959877342632511,11.10650179808122,1.884563323650457,19.088908148497037,16.759609385476814,157.31016460023417,194.998833039339,33.08761440655105,151.28657869400197
144,Tyler Bertuzzi,16.81790100237885,0.9457648776450228,1.4126069708567488,7.89966283301096,3.634048458459117,1.685388410485376,21.207706778347916,31.676112254852093,177.14099663699994,81.4894229496172,37.79292725079961,148.19736252090212
145,Nathan MacKinnon,21.248652461406337,1.6135278106935576,2.422357009133125,12.376838776091445,2.3866181180071866,1.601296574420052,45.71372224832166,68.62909629936195,350.6548609653664,67.61655859684049,45.367192529989566,275.9661938190544
146,Aleksander Barkov,20.36873117441139,1.2441647704281107,2.065677398327794,9.23978274946678,2.28972668201558,1.923756164925348,33.7894103273646,56.100303492795135,250.93686791180346,62.185102998469745,52.245962891308054,215.02110759791967
147,Elias Lindholm,18.42881660251491,1.1447614671652016,1.5943569941198643,8.59331928723116,3.520944318294726,1.9471943046506817,28.128798842684528,39.17615019142923,211.15294020164959,86.51578281269386,47.84598230649195,181.81242420700713
148,Bo Horvat,19.87049538458057,1.1893219246715212,1.319733532438583,8.90468655119571,2.7620245739821523,1.9735824774332875,31.50988775328792,34.96501208692943,235.92071068889467,73.17706206588062,52.288082011902965,188.33125128517483
149,Valeri Nichushkin,19.544946374218977,1.0678636790202989,1.4878245659109943,8.540703117415479,3.4497012465259926,1.8223201678482333,27.828451121903903,38.77260180663468,222.57011257068052,89.89896782723585,47.48953327633526,184.4191574690054
150,Max Domi,17.142971994522917,0.859136582219491,1.4697335846532225,7.099698972076969,1.302692405981016,0.978095736805882,19.63753915794516,33.59413557482662,162.2799208638115,29.776025910946984,22.356623765367324,126.4723565257484
151,Alex Wennberg,18.26550197062684,0.4759547859398778,0.9570477830792908,4.095130748900864,1.9135511282266824,2.193439409865432,11.591404107352151,23.307944223758447,99.73282501869774,46.6026292046929,53.41902915113016,96.42937328209294
152,Conor Sheary,15.861526100516835,0.8203411961334945,1.150604073236947,7.084323511839764,2.685254902418209,1.985837195994732,17.34915105840083,24.33378205201176,149.82424305006867,56.78965429499628,41.997878020863475,121.18502801029554
153,Garnet Hathaway,12.743953706780031,0.7332566330233735,0.7987096626289943,6.474847809509565,14.790750592323056,4.1963083869478135,12.459451448585687,13.5716252876024,110.0202143237813,251.3235211161258,71.30341309684763,146.65231531896245
154,Frederick Gaudreau,16.161193625465888,0.7952191334759634,1.148034360187384,6.384712766051869,2.158951946515511,2.203910756365642,17.135587187706996,24.73814077823488,137.5794390068642,46.52165391428486,47.49043795582949,116.9071978728935
155,Pierre-Edouard Bellemare,12.39782188637464,0.4774196123194464,0.7573436204222653,4.31563067356563,4.749133842052377,2.9466991903308792,7.891951091464705,12.519215083703159,71.33922722432226,78.50522065109259,48.710202285928816,77.94177980696848
156,Tomas Nosek,13.301531747069312,0.5378614720003557,0.8124647896233337,6.128160916524446,4.904948452891322,2.123255327556108,9.539175260450886,14.409368256734352,108.68523597639906,86.99110341849658,37.65673086216216,91.82098634190058
157,Sam Reinhart,19.066123050144007,1.2245657418130662,1.5384764110935858,8.853188119637224,2.260185030265069,1.6524834605230296,31.130294821865057,39.110374084872326,225.0612987667685,57.457287870836346,42.008603995546494,182.50276138689028
158,Leon Draisaitl,20.93414273502685,1.5047260073203206,2.2642719647351592,9.890695492565996,2.259592314108315,1.270050460475263,42.00019868580086,63.200790000914004,276.0709749200844,63.07017070201745,35.44989016036764,240.8489463181331
159,Sam Bennett,17.231077938680208,1.1774279853504672,1.3016597681706152,10.803369366349816,7.240245591355041,1.7246130396264274,27.051137843676155,29.905334553323044,248.20493273589852,166.34298143976596,39.622588933156194,197.5502360178805
160,William Nylander,18.193988027586656,1.475140102913031,1.8961353279288773,11.116946460571157,0.9635401141415296,1.1813237682919504,35.78490849521685,45.99768460669612,269.6821210759379,23.374183067720622,28.657320662676398,197.99590779871355
161,Nikolaj Ehlers,16.02960235748083,1.403749955097708,1.9489908568968088,12.309562706855342,2.764459970346894,1.145891583738529,30.00207145273044,41.65539791256223,263.089860513822,59.084258743778605,24.490915242816754,188.32579944312747
162,Nick Ritchie,13.980712418906643,0.8383453897435541,0.9176985317425208,7.484512383553052,12.161991466481672,1.8690025346999013,15.627554402294448,17.10677234606007,139.5184203069343,226.71107351210256,34.83998259712921,148.62925025469048
163,Kevin Fiala,17.43418252863627,1.3300425621504814,2.09170103474891,10.75565705867228,2.5813464694615096,0.997741431943586,30.91760639918206,48.62279684686647,250.0214511684102,60.004887357657026,23.19307498784987,193.76286302370985
164,Dylan Larkin,19.07268055891904,1.2334894631177038,1.7613369013864049,9.481374505812722,2.321543121200898,1.181161643559111,31.36793400378202,44.79122143570557,241.11363627845986,59.03740047256079,30.037224954734288,190.07415486970834
165,Sonny Milano,13.74146262889306,0.8330194206156735,1.3654846823278926,5.848275601953693,2.5801930628787377,1.118400325692208,15.262540316709902,25.018342310046194,107.15181417028501,47.2741687318364,20.49127503952174,99.27273742887678
166,Alex Tuch,18.65317632417089,1.194058747811397,1.6920254679548792,8.84634786183583,2.345173384111108,2.293320920748508,29.697317819126255,42.0821991983335,220.0166486557012,58.32657685943606,57.03695933684248,185.32188104958095
167,Nick Schmaltz,19.05703072743557,1.0496049873188595,1.726439978965587,6.897539837059504,0.8800737029198604,1.4357386858809966,26.669805993340173,43.86775963762722,175.26217149140518,22.362122131935713,36.481221671202825,155.7337504479435
