,Player,TOI/GP_x,Goals/60_x,Total Assists/60_x,IPP_x,Shots/60_x,SH%_x,ixG/60_x,iCF/60_x,iSCF/60_x,iHDCF/60_x,Hits/60_x,Shots Blocked/60_x,TOI/GP_y,Goals/60_y,Total Assists/60_y,IPP_y,Shots/60_y,SH%_y,ixG/60_y,iCF/60_y,iSCF/60_y,iHDCF/60_y,Hits/60_y,Shots Blocked/60_y,Goal_Proj
276,Mason Marchment,14.10987654321,1.42,2.28,77.05,9.53,14.88,1.37,16.3,10.16,5.43,8.98,0.71,15.705637254902,0.67,1.07,65.96,8.31,8.11,1.07,14.83,9.72,4.21,4.94,2.19,1.073271953284114
277,Ryan Lomberg,11.414848484848,0.86,0.86,66.67,8.7,9.89,0.85,15.48,9.65,3.73,11.18,0.67,11.308943089431,0.78,0.52,52.63,8.67,8.96,0.95,14.1,7.83,4.34,9.64,1.55,0.8065536527509148
279,Matthew Tkachuk,17.89756097561,1.72,2.53,70.75,10.34,16.6,1.46,18.6,12.26,6.42,3.8,0.82,20.435864978903,1.49,2.56,69.43,12.0,12.38,1.7,19.96,13.34,7.47,2.53,1.15,1.56744723552782
281,Auston Matthews,20.609589041096,2.39,1.83,72.11,13.88,17.24,1.53,23.89,16.23,5.82,2.67,2.47,20.278378378378,1.6,1.8,62.04,13.07,12.23,1.56,22.71,15.71,6.68,3.12,3.68,1.8003940460212382
283,Alex DeBrincat,20.856300813008,1.44,1.3,69.03,9.47,15.19,1.09,16.49,10.38,3.05,3.54,1.23,19.006300813008,1.04,1.5,64.71,10.13,10.27,1.09,18.13,11.09,3.43,4.2,1.46,1.240083384699577
284,Patrik Laine,18.82619047619,1.48,1.71,74.67,9.5,15.57,0.86,18.04,8.48,1.71,1.93,0.74,19.120909090909,1.26,1.71,80.0,10.5,11.96,0.88,20.48,8.84,2.45,1.54,1.54,1.2653399652156425
285,Clayton Keller,20.138805970149,1.25,1.56,73.26,7.87,15.82,0.85,12.18,6.94,2.67,0.76,1.38,20.750203252033,1.3,1.73,78.18,7.9,16.52,0.8,13.51,7.65,2.43,0.63,1.2,1.140011940444222
286,Jesse Puljujarvi,16.229230769231,0.8,1.25,48.65,9.1,8.75,1.2,15.02,10.18,5.18,4.61,0.85,12.231777777778,0.33,0.72,50.0,8.18,4.0,0.9,14.85,8.76,3.86,9.09,1.7,0.7849501619995417
287,Dillon Dube,12.839029535865,1.06,0.83,64.0,8.46,12.59,0.91,13.49,9.11,3.96,5.15,0.89,15.160975609756,0.87,1.3,69.23,7.29,11.92,0.88,12.89,8.83,3.76,6.56,1.01,0.9765222534293084
288,Sam Steel,12.312009803922,0.43,1.0,64.52,4.8,8.96,0.49,8.96,5.73,2.51,2.65,1.93,14.960769230769,0.62,1.11,54.9,5.24,11.76,0.63,9.19,6.66,3.02,2.84,0.93,0.6304175779678417
289,Trent Frederic,11.657222222222,0.69,0.86,66.67,8.58,8.0,0.8,13.47,8.66,3.77,10.21,1.89,11.917721518987,1.08,0.89,60.78,7.65,14.17,0.84,12.04,8.28,4.01,6.69,2.29,0.8977962156722786
290,Tyson Jost,12.821041666667,0.47,0.7,57.14,5.67,8.25,0.5,9.18,5.5,2.46,3.22,2.16,13.243661971831,0.45,1.15,69.44,6.25,7.14,0.71,11.1,7.53,3.51,3.89,2.04,0.6270360186332476
292,Jordan Kyrou,16.577027027027,1.32,2.35,81.52,9.2,14.36,0.85,15.8,10.27,2.98,0.29,1.12,18.00358649789,1.56,1.52,75.26,11.47,13.6,1.0,19.83,11.81,3.0,0.59,1.48,1.4545589366666656
