,Player,TOI/GP_x,Goals/60_x,Total Assists/60_x,IPP_x,Shots/60_x,SH%_x,ixG/60_x,iCF/60_x,iSCF/60_x,iHDCF/60_x,Hits/60_x,Shots Blocked/60_x,TOI/GP_y,Goals/60_y,Total Assists/60_y,IPP_y,Shots/60_y,SH%_y,ixG/60_y,iCF/60_y,iSCF/60_y,iHDCF/60_y,Hits/60_y,Shots Blocked/60_y,Goal_Proj
1,Jeff Carter,17.670833333333,0.85,1.16,64.29,8.94,9.5,0.92,14.07,7.86,4.15,4.42,2.23,13.706329113924,0.72,0.89,61.7,7.7,9.35,0.94,13.3,7.81,4.16,4.43,2.99,0.7916310045673741
3,Zach Parise,15.282113821138,0.72,0.96,55.56,6.61,10.87,0.84,9.72,7.23,3.97,2.87,2.73,16.141666666667,0.95,0.59,64.15,8.25,11.54,1.23,12.47,9.29,5.76,4.03,3.76,0.8468876004587291
6,Corey Perry,13.514837398374,1.03,1.14,62.5,8.28,12.42,1.16,13.1,10.34,6.55,3.95,1.52,11.562345679012,0.77,0.83,48.08,7.43,10.34,1.04,12.43,8.91,5.51,3.08,1.6,0.8738365216929083
8,Patrice Bergeron,18.180136986301,1.13,1.81,65.66,13.25,8.53,1.33,19.3,12.57,5.2,3.53,2.03,17.391666666667,1.19,1.37,52.73,11.01,10.84,1.37,19.33,13.27,5.93,2.92,2.39,1.3064334150964934
9,Joe Pavelski,18.473983739837,1.07,2.14,70.43,8.56,12.5,1.16,14.81,9.78,5.94,4.12,2.73,17.722764227642,1.16,2.02,55.0,7.64,15.14,1.16,13.95,10.49,6.28,3.84,2.64,1.1641821321534573
10,Alex Ovechkin,20.571861471861,1.89,1.52,69.77,12.65,14.97,1.35,24.32,10.83,2.69,5.87,0.95,20.204109589041,1.71,1.34,68.18,11.96,14.29,1.4,23.51,11.11,3.82,7.65,0.94,1.503847147299389
11,Evgeni Malkin,18.329674796748,1.6,1.76,73.68,10.3,15.5,1.05,16.21,10.06,3.83,1.68,1.44,18.580487804878,1.06,2.21,75.45,9.45,11.25,1.04,16.42,10.32,4.02,2.09,1.3,1.2840077948882427
13,Blake Wheeler,19.538205128205,0.8,2.03,75.0,7.89,10.18,0.92,12.43,8.93,4.25,2.93,1.75,17.044212962963,0.78,1.91,74.32,6.16,12.7,0.92,12.42,7.87,4.06,2.64,1.71,0.9660023778526218
15,Paul Stastny,17.783098591549,1.0,1.14,55.56,6.7,14.89,0.94,9.31,7.65,5.37,1.28,1.28,11.870091324201,0.62,0.9,52.38,5.54,11.25,0.99,9.49,7.55,5.12,1.45,1.25,0.7478548016997298
16,Sidney Crosby,19.974396135266,1.35,2.31,71.79,9.06,14.9,1.05,14.54,9.14,4.53,2.18,1.61,20.143495934959,1.2,2.18,70.99,9.26,12.94,1.2,16.09,9.77,5.23,2.58,1.71,1.2428862607920235
17,Anze Kopitar,20.769547325103,0.68,1.71,72.83,7.49,9.05,0.69,12.59,6.92,2.67,2.57,2.53,20.302235772358,1.01,1.66,66.67,6.09,16.57,0.72,10.45,6.7,3.39,2.45,3.14,0.9013525698179151
18,T.J. Oshie,17.450757575758,0.86,1.09,58.14,6.02,14.29,0.86,10.78,6.88,3.36,6.72,2.34,16.723563218391,1.18,0.99,61.4,7.79,15.08,1.21,14.1,10.7,5.81,7.73,2.1,1.0276574429057437
19,Andrew Cogliano,12.66981981982,0.26,0.77,57.14,4.8,5.33,0.45,8.19,4.67,2.37,6.66,1.98,12.617721518987,0.6,0.54,59.38,5.12,11.76,0.44,7.89,4.15,1.99,3.31,3.25,0.4635042300176605
21,Ryan Reaves,10.649275362319,0.41,0.65,72.22,3.59,11.36,0.4,5.96,4.16,2.29,22.78,1.31,9.3207762557078,0.44,0.88,71.43,4.23,10.42,0.61,6.97,4.76,3.17,17.28,2.12,0.4618630244402321
23,Brad Marchand,19.25119047619,1.42,2.14,76.92,10.77,13.22,1.14,17.72,10.11,3.74,3.47,0.89,18.528082191781,0.93,2.04,64.42,8.12,11.48,0.89,14.86,9.36,3.37,3.59,0.98,1.1999726321341369
24,Nick Foligno,12.472916666667,0.15,0.83,65.0,7.44,2.02,0.61,11.2,5.94,3.16,12.33,2.33,12.366111111111,0.81,1.29,61.9,5.74,14.08,0.68,9.38,6.06,3.4,11.89,2.35,0.6090068274269241
25,Kyle Okposo,16.786036036036,1.01,1.16,76.27,8.4,12.07,0.72,14.68,8.31,3.19,2.85,0.92,14.667555555556,0.6,0.93,68.29,8.18,7.33,0.86,13.14,7.53,3.55,4.25,1.36,0.796501150787113
26,Trevor Lewis,12.826041666667,0.35,0.58,50.0,6.32,5.56,0.55,10.53,5.67,2.34,10.29,2.34,12.118699186992,0.54,0.66,62.5,8.69,6.25,0.73,13.52,6.58,3.14,9.54,1.99,0.5681962513566835
27,Milan Lucic,12.258333333333,0.6,0.66,53.85,5.67,10.53,0.72,10.21,6.27,2.57,12.48,1.31,11.306926406926,0.48,0.83,54.29,5.03,9.59,0.66,9.92,6.06,3.45,11.58,1.03,0.6131012521462189
29,Claude Giroux,19.070222222222,0.88,1.85,72.22,8.6,10.24,0.69,14.22,6.46,2.35,2.85,0.67,18.79593495935,1.36,1.71,73.15,8.33,16.36,0.86,13.9,7.75,3.7,2.92,1.17,1.0713171443418168
30,Jordan Staal,16.632051282051,0.79,0.88,59.02,6.75,11.64,0.93,10.82,8.05,4.81,9.8,1.34,16.268106995885,0.77,0.77,61.82,5.65,13.71,0.75,9.15,6.88,3.82,7.06,1.78,0.7775522422279223
31,Phil Kessel,16.678455284553,0.35,1.93,65.82,7.68,4.57,0.79,13.6,7.37,2.72,0.26,0.92,12.808739837398,0.8,1.26,67.92,8.51,9.4,0.82,14.91,8.97,3.2,0.57,1.6,0.8919929117277191
32,Nicklas Backstrom,17.490780141844,0.44,1.82,51.67,4.96,8.82,0.55,8.83,5.04,2.55,1.17,1.17,16.878205128205,0.64,1.28,60.0,5.38,11.86,0.77,10.76,6.84,3.46,2.19,2.1,0.7095006953168703
33,Jonathan Toews,17.475352112676,0.58,1.21,60.66,6.04,9.6,0.59,9.09,6.33,2.95,1.21,1.06,17.710691823899,0.96,1.02,63.27,5.56,17.24,0.68,8.82,5.56,3.2,0.58,1.47,0.7546033610622996
34,Alex Killorn,18.69756097561,0.98,1.33,54.13,6.42,15.24,0.87,10.68,8.26,4.46,3.44,1.02,17.208943089431,1.15,1.57,62.75,6.08,18.88,0.85,10.16,7.36,4.17,2.59,1.32,1.0231220991046328
35,Jamie Benn,16.741869918699,0.79,1.22,68.66,7.95,9.89,1.0,13.85,8.74,4.11,6.25,2.62,15.783536585366,1.53,2.09,63.93,8.81,17.37,1.21,15.3,9.78,4.87,4.5,1.76,1.1694199564646324
36,Nick Bonino,16.699791666667,0.72,0.45,49.06,6.15,11.68,0.71,9.48,5.93,3.32,1.53,4.58,15.915053763441,0.61,0.55,48.72,5.53,10.99,0.72,9.0,6.2,3.34,1.16,4.8,0.5993039206728618
37,Pat Maroon,12.396090534979,0.66,0.96,55.1,6.1,10.78,0.71,9.32,6.69,4.06,9.56,0.66,10.344791666667,0.36,0.65,60.87,4.5,8.06,0.68,8.85,6.09,3.48,12.47,0.87,0.5760323200501849
38,James van Riemsdyk,16.112398373984,1.09,0.64,64.41,8.49,12.83,1.12,12.94,8.86,5.36,1.54,1.14,15.353825136612,0.77,1.09,56.86,7.62,10.08,0.99,12.62,8.26,5.57,1.15,1.28,0.8435093584326848
40,Logan Couture,18.932683982684,0.95,1.36,68.29,8.19,11.56,0.9,12.92,8.4,4.03,3.79,2.39,19.131504065041,1.03,1.53,67.68,7.61,13.57,1.01,13.08,8.76,4.63,4.9,2.68,1.000741113064597
41,David Perron,16.98631840796,1.42,1.58,72.15,9.33,15.25,0.91,16.82,9.17,2.06,4.22,0.58,16.918495934959,1.04,1.38,53.33,8.43,12.31,0.95,15.14,8.39,2.77,4.63,1.04,1.1036970733410687
42,Patrick Kane,21.823290598291,0.92,2.33,79.31,10.12,9.06,0.78,18.12,7.75,1.97,0.39,0.92,19.308675799087,0.89,1.53,64.04,9.66,9.25,0.8,15.79,7.45,2.26,0.55,0.81,0.9760636337599865
43,Evgenii Dadonov,15.809615384615,0.97,1.12,57.33,8.61,11.3,0.92,14.6,9.1,4.57,3.16,1.22,14.72397260274,0.39,1.45,58.93,6.14,6.36,0.75,11.39,6.48,3.8,1.84,2.4,0.7484182643352026
44,Mikael Backlund,17.118292682927,0.51,1.15,60.0,9.15,5.61,0.87,15.17,8.21,2.95,2.65,1.15,18.163008130081,0.77,1.49,65.88,10.47,7.31,1.07,17.08,9.51,4.07,3.91,1.25,0.8890145928683698
48,Lars Eller,16.119212962963,0.67,0.93,57.41,6.0,11.21,0.59,11.01,6.57,2.64,4.91,1.86,14.791865079365,0.48,0.63,50.0,6.76,7.14,0.61,12.94,6.57,2.56,4.49,2.03,0.6284388904222297
50,Steven Stamkos,18.478600823045,1.68,2.57,75.71,9.66,17.43,1.03,16.07,9.02,2.97,3.73,1.24,19.020781893004,1.32,1.95,61.31,9.35,14.17,1.19,17.49,11.18,4.09,3.58,1.99,1.3848144028450422
51,Josh Bailey,16.891441441441,0.67,1.44,67.69,4.18,16.09,0.47,7.49,5.33,2.21,0.91,1.25,15.1328125,0.5,1.05,59.52,4.46,11.11,0.53,7.12,5.14,1.98,0.68,1.92,0.6415352904222686
52,Jordan Eberle,17.951054852321,0.89,0.97,62.86,6.94,12.8,0.8,13.12,8.46,3.81,2.03,1.69,16.684349593496,0.88,1.89,64.95,7.76,11.3,0.82,14.08,8.86,3.33,1.93,1.1,0.9774346141766673
54,Derek Stepan,10.795689655172,0.86,0.96,76.0,9.2,9.38,1.05,13.89,8.53,4.12,2.78,2.4,9.0805936073059,0.45,0.54,47.83,8.87,5.1,0.82,16.11,8.33,4.25,2.62,1.9,0.6987857735556141
55,Adam Henrique,17.419540229885,1.13,1.37,59.15,8.37,13.48,1.1,13.84,10.04,5.23,1.31,2.79,18.180107526882,1.17,0.85,60.32,7.03,16.67,1.01,11.92,8.52,4.63,1.49,2.45,1.0663760608598984
56,Gustav Nyquist,17.844308943089,0.74,1.44,55.79,5.0,14.75,0.58,8.53,5.62,2.67,1.68,2.09,17.619607843137,0.73,1.07,65.85,6.81,10.78,0.81,10.95,6.68,3.2,2.74,2.0,0.776338450188251
57,Derek Grant,14.313615023474,0.89,0.83,80.56,6.91,12.82,0.78,11.39,6.2,4.01,4.07,2.89,14.845652173913,0.44,1.14,62.07,6.33,6.94,0.76,10.81,5.18,3.08,3.16,2.28,0.5567390292897917
